iter	RMSE
0	0.3857621071
1	0.3714179379
2	0.3586189546
3	0.3475664249
4	0.335912335
5	0.3265616022
6	0.3170977231
7	0.30766148
8	0.298058523
9	0.2893433593
10	0.2806563628
11	0.2730880275
12	0.2654503227
13	0.2590054904
14	0.2523781073
15	0.2469411343
16	0.2409605186
17	0.2360156258
18	0.230789466
19	0.2258606117
20	0.2216524066
21	0.2174367456
22	0.2131547717
23	0.2091584442
24	0.2050668799
25	0.2017634446
26	0.198380923
27	0.1955075053
28	0.1925452868
29	0.189935712
30	0.1874339505
31	0.1853284843
32	0.1832297663
33	0.1810713757
34	0.1788539851
35	0.1770304511
36	0.1755169818
37	0.1736020725
38	0.1721981205
39	0.1704535942
40	0.1688716248
41	0.1672919076
42	0.1656099333
43	0.1643462637
44	0.1631644248
45	0.1617353503
46	0.1608169885
47	0.159572372
48	0.1583825927
49	0.1575763555
50	0.1566285139
51	0.1557642006
52	0.1549379262
53	0.1540340659
54	0.1533463629
55	0.1526190797
56	0.1517130902
57	0.1510967773
58	0.1505119645
59	0.1498397837
60	0.149106902
61	0.1484457531
62	0.1478553907
63	0.1471538546
64	0.1465693137
65	0.1460482705
66	0.1455133421
67	0.1451497502
68	0.1445636651
69	0.1440148778
70	0.1435026972
71	0.1430535641
72	0.1427080874
73	0.1422580911
74	0.1419000238
75	0.1415238066
76	0.1411388691
77	0.1407200272
78	0.1404058157
79	0.1400881332
80	0.1397838418
81	0.1395156633
82	0.139215076
83	0.1389005223
84	0.1386456627
85	0.1382082993
86	0.1379649947
87	0.1378088532
88	0.1376221676
89	0.137276866
90	0.1369588791
91	0.1367454454
92	0.1364472181
93	0.1361677854
94	0.1359459813
95	0.135743383
96	0.1354748127
97	0.1352771422
98	0.1350992714
99	0.1348570892
100	0.1345945375
101	0.1343819571
102	0.1342345303
103	0.1340508955
104	0.1339430454
105	0.1337467997
106	0.1336015391
107	0.1334026985
108	0.1332249215
109	0.1329773472
110	0.132777215
111	0.1326800645
112	0.1325052509
113	0.1323447103
114	0.1321659448
115	0.1320704041
116	0.1319103886
117	0.1316460261
118	0.1315090022
119	0.1313181581
120	0.1311190079
121	0.1310266098
122	0.1308183896
123	0.130697361
124	0.1306299822
125	0.1304754613
126	0.1303063742
127	0.1301669943
128	0.1299377935
129	0.1297570992
130	0.1295690365
131	0.1293771524
132	0.12919782
133	0.1291076264
134	0.1290065974
135	0.1288715884
136	0.1287210205
137	0.1285283172
138	0.128409885
139	0.1281703974
140	0.1279869264
141	0.1278464746
142	0.1277623763
143	0.1276694765
144	0.1275343174
145	0.1272754393
146	0.127103105
147	0.1270007322
148	0.1268759982
149	0.1267540739
150	0.1265100353
151	0.1264089177
152	0.1263084315
153	0.1262478325
154	0.1260657224
155	0.1260047109
156	0.1257723304
157	0.1256572793
158	0.1254523232
159	0.1252960136
160	0.1250127543
161	0.1247543351
162	0.1245756255
163	0.1244374432
164	0.1242654781
165	0.1242064755
166	0.1241075506
167	0.1239043901
168	0.1237129783
169	0.1235563357
170	0.1234488816
171	0.1232528667
172	0.1231531747
173	0.1230620057
174	0.1228945592
175	0.1227570813
176	0.1226841494
177	0.1225907378
178	0.1224220004
179	0.1223381165
180	0.122253772
181	0.1221247401
182	0.1220289984
183	0.1219577369
184	0.1217901744
185	0.1215680146
186	0.1213883881
