iter	Passed	Remaining
0	14	14885
1	16	8257
2	18	6061
3	19	4877
4	21	4190
5	22	3695
6	23	3347
7	24	3096
8	26	2908
9	27	2762
10	29	2627
11	30	2513
12	32	2432
13	33	2360
14	34	2287
15	36	2235
16	37	2178
17	38	2127
18	40	2079
19	41	2041
20	43	2033
21	44	1995
22	46	1961
23	47	1934
24	48	1909
25	50	1887
26	51	1860
27	52	1839
28	54	1816
29	55	1800
30	57	1786
31	58	1778
32	60	1767
33	61	1753
34	63	1738
35	64	1724
36	65	1707
37	67	1697
38	68	1686
39	69	1672
40	70	1660
41	72	1649
42	73	1639
43	74	1628
44	76	1617
45	77	1610
46	78	1594
47	79	1586
48	81	1579
49	82	1572
50	84	1563
51	85	1564
52	87	1558
53	88	1553
54	90	1546
55	91	1540
56	92	1534
57	94	1526
58	95	1521
59	96	1516
60	98	1510
61	99	1506
62	101	1515
63	103	1516
64	105	1516
65	107	1517
66	108	1517
67	110	1520
68	112	1516
69	113	1511
70	115	1509
71	116	1507
72	118	1503
73	119	1500
74	121	1501
75	123	1505
76	125	1505
77	126	1500
78	128	1498
79	130	1500
80	132	1498
81	133	1494
82	135	1492
83	136	1491
84	138	1494
85	141	1508
86	143	1507
87	145	1503
88	146	1500
89	147	1496
90	149	1492
91	150	1489
92	153	1493
93	157	1520
94	159	1522
95	161	1520
96	163	1517
97	164	1514
98	166	1511
99	167	1509
100	171	1525
101	173	1525
102	174	1523
103	176	1519
104	177	1515
105	179	1511
106	180	1507
107	181	1502
108	184	1506
109	186	1511
110	188	1510
111	190	1506
112	191	1503
113	193	1500
114	194	1496
115	195	1492
116	197	1488
117	200	1498
118	202	1497
119	203	1494
120	205	1490
121	206	1486
122	207	1482
123	209	1477
124	210	1473
125	211	1469
126	214	1471
127	216	1475
128	218	1472
129	219	1469
130	221	1466
131	222	1464
132	224	1460
133	224	1453
134	226	1452
135	232	1479
136	234	1475
137	235	1472
138	237	1469
139	238	1466
140	240	1464
141	249	1505
142	250	1501
143	252	1498
144	253	1494
145	254	1490
146	256	1486
147	261	1507
148	263	1504
149	264	1501
150	266	1498
151	267	1494
152	275	1524
153	277	1524
154	279	1521
155	280	1517
156	282	1514
157	283	1511
158	294	1559
159	296	1555
160	298	1553
161	300	1553
162	302	1551
163	303	1547
164	306	1552
165	309	1554
166	310	1550
167	312	1546
168	314	1544
169	315	1542
170	317	1538
171	319	1535
172	321	1535
173	323	1537
174	325	1533
175	326	1529
176	332	1544
177	333	1542
178	335	1540
179	338	1542
180	340	1539
181	341	1536
182	343	1534
183	345	1530
184	346	1527
185	348	1523
186	349	1520
187	351	1520
188	354	1520
189	355	1517
190	357	1514
191	359	1512
